"string_agg"
"Design ID|Area ID|SubArea ID|DSA ID|CSA ID|State Name|City Name|Requested By|Pole Type|Third Party Vendor ID|Primary POD Name|Project Name|Status|Is Visible On Map|Parent Code|Vendor Name|Purpose ID|Third Party Vendor Name|Network ID|Pole Name|Subcategory1|Modified On|Is Used|Planning Name|Workorder Code|Acquire From|Pole No|Created On|Request Ref ID|Category|Address|Status Remark|Longitude|Status Updated On|Network Status|Project ID|Planning Code|Remarks|Subcategory3|Project Code|Source Ref ID|Latitude|Secondary POD Name|Region ID|Status Updated By|Workorder ID|Origin Ref Description|Province ID|Country Name|Pole Height|Workorder Name|Created By|Purpose Code|Source Ref Description|Origin Ref ID|Subcategory2|Origin From|Parent Type|Source Ref Type|Specification|Modified By|Planning ID|Ownership Type|Barcode|Request Approved By|Origin Ref Code|Item Code|Created By ID|Purpose Name|BOM Sub Category|St Y|St X|Mzone Id|PRMS Id|NE Id|Served By Ring|Own Vendor Name|"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Dialog|||JHJ-P000009|JHJ-P000009|||Yes|||||04-Dec-24||Pole|||76.649348||Planned|||||||28.597861||4||||821|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Dialog|||JHJ-P000008|JHJ-P000008|||Yes|||||04-Dec-24||Pole|||76.648189||Planned|||||||28.596221||4||||821|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Dialog|||JHJ-P000007|JHJ-P000007|||Yes|||||04-Dec-24||Pole|||76.646215||Planned|||||||28.597145||4||||821|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Dialog|||JHJ-P000006|JHJ-P000006||04-Dec-24|Yes|||||04-Dec-24||Pole|||76.644584||Planned|||||||28.598181||4||||821|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Generic|||JHJ-P000005|JHJ-P000005|||Yes|||||03-Dec-24||Pole|||76.642296||Planned|||||||28.602066||4||||821|India|||admin||||||Province|WEB|Pole|admin||Own||||PL001|5||Proposed|||||||"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Generic|||JHJ-P000004|JHJ-P000004|||Yes|||||03-Dec-24||Pole|||76.639034||Planned|||||||28.601350||4||||821|India|||admin||||||Province|WEB|Pole|admin||Own||||PL001|5||Proposed|||||||"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Generic|||JHJ-P000003|JHJ-P000003|||Yes|||||03-Dec-24||Pole|||76.642167||Planned|||||||28.599504||4||||821|India|||admin||||||Province|WEB|Pole|admin||Own||||PL001|5||Proposed|||||||"
"|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Generic|||JHJ-P000002|JHJ-P000002|||Yes|||||03-Dec-24||Pole|||76.640730||Planned|||||||28.599334||4||||821|India|||admin||||||Province|WEB|Pole|admin||Own||||PL001|5||Proposed|||||||"
"|||||Uttar Pradesh|Ghaziabad||Electrical||||Approved|true|GZB|Dialog|||GZB-P000002|GZB-P000002||03-Dec-24|No|||||03-Dec-24||Pole|||77.372413||Planned|||||||28.631215||6||||854|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Delhi|New Delhi||Electrical||||Approved|true|NDL|Dialog|||NDL-P000001|NDL-P000001||02-Dec-24|No|||||02-Dec-24||Pole|||77.208268||Planned|||||||28.610194||9||||1355|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Uttar Pradesh|Ghaziabad||Electrical||||Approved|true|GZB|Dialog|||GZB-P000001|GZB-P000001||02-Dec-24|No|||||02-Dec-24||Pole|||77.370205||Planned|||||||28.711527||6||||854|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Uttar Pradesh|Gautam Buddha Nagar||Electrical||||Approved|true|GAU|Dialog|||GAU-P000006|GAU-P000006||02-Dec-24|No|||||02-Dec-24||Pole|||77.462921||Planned|||||||28.612876||6||||855|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Uttar Pradesh|Gautam Buddha Nagar||Electrical||||Approved|true|GAU|Dialog|||GAU-P000005|GAU-P000005||02-Dec-24|No|||||02-Dec-24||Pole|||77.445841||Planned|||||||28.626965||6||||855|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Uttar Pradesh|Gautam Buddha Nagar||Electrical||||Approved|true|GAU|Dialog|||GAU-P000004|GAU-P000004||02-Dec-24|No|||||02-Dec-24||Pole|||77.400007||Planned|||||||28.617020||6||||855|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||||Uttar Pradesh|Gautam Buddha Nagar||Electrical||||Approved|true|GAU|Dialog|||GAU-P000003|tetsing||28-Nov-24|No|||||28-Nov-24||Pole|||77.370962||Planned|||||||28.608737||6||||855|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"123|||||Haryana|Jhajjar||Electrical||||Approved|true|JHJ|Dialog|||JHJ-P000001|test1234||03-Dec-24|No|||||25-Nov-24||Pole|||76.641553||Planned|||||||28.600082||4||||821|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed|||||||OWN"
"|||ANA-DSA000001||Andhra Pradesh|Anantapur||Electrical||||Approved|true|ANA|Dialog|||ANA-P000001|ANA-P000001||20-Nov-24|No|||||20-Nov-24||Pole|||77.601729||Planned|||||||14.682458||28||||1527|India|||admin||||||Province|WEB|Generic|admin||Own||||POL001|5||Proposed||||||Ring2|OWN"
